序號	客家語言	等級	腔調	類別	客語音標	華語辭義	英語詞義	客語例句	華語翻譯
001	頭那	初級	四縣	人體	teuˇ naˇ	頭	head	頭那大愛戴較(過)大頂个帽仔。	頭大要戴比較大的帽子。
002	頭腦	初級	四縣	人體	teuˇ noˋ	頭腦	brain	佢頭腦好，當（蓋）會讀書。	他頭腦好，很會讀書。
003	頭那毛	初級	四縣	人體	teuˇ naˇ moˊ	頭髮	hair	頭那毛忒長，好剪哩喲！	頭髮太長，該剪了喔！
004	目珠	初級	四縣	人體	mugˋ zuˊ	眼睛	eye	緊看電視，目珠會看壞忒。	一直看電視，眼睛會看壞。
005	目眉毛	初級	四縣	人體	mugˋ miˇ moˊ	眉毛	eyebrow	佢个目眉毛彎彎，當（蓋）靚。	他的眉毛彎彎的，很漂亮。
006	目汁	初級	四縣	人體	mugˋ ziibˋ	淚水	tear	老弟緊噭緊流目汁。	弟弟邊哭邊流眼淚。
007	目屎	初級	四縣	人體	mugˋ siiˋ	眼屎	secretions of the eyes	若目珠脣有目屎。	你眼睛旁邊有眼屎。
008	耳公	初級	四縣	人體	ngiˋ gungˊ	耳朵	ear	阿公八十零歲吔，耳公還當（蓋）靈。	爺爺八十幾歲了，耳朵還很靈。
009	鼻公	初級	四縣	人體	pi  gungˊ	鼻子	nose	鼻公毋鬆爽。	我鼻子不舒服。
010	濞	初級	四縣	人體	pi	鼻涕	nasal mucus	寒着吔，緊流濞。	我感冒了，一直流鼻涕。
011	鼻屎	初級	四縣	人體	pi  siiˋ	鼻屎	snot	在人面前挖鼻屎，當（蓋）無禮貌。	在別人面前挖鼻屎，很沒禮貌。
012	嘴	初級	四縣	人體	zoi	嘴	mouth	食東西以後，嘴愛捽淨來。	吃完東西後，嘴巴要擦乾淨。
013	嘴脣	初級	四縣	人體	zoi  sunˇ【zoi  siinˇ】	嘴脣	lip	阿姊个嘴脣紅紅，當（蓋）靚。	姊姊嘴脣紅紅的，很漂亮。
014	口涎	初級	四縣	人體	heuˋ lanˊ【heuˋnanˊ】	口水	saliva	看着酸梅就會流口涎。	我看到酸梅就會流口水。
015	面	初級	四縣	人體	mien	臉	face	朝晨頭起來，愛洗面。	早上起床，要洗臉。
016	面頰卵	初級	四縣	人體	mien  gabˋ lonˋ【mien  gabˋnonˋ】	顴骨周邊	cheek	老妹面頰卵紅紅，當（蓋）得人惜。	妹妹臉頰紅紅的，很可愛。
017	額頭	初級	四縣	人體	ngiagˋ teuˇ	額頭	forehead	阿姆摸吾額頭，講發燒吔。	媽媽摸我額頭，說我發燒了。
018	牙齒	初級	四縣	人體	ngaˇ ciiˋ	牙齒	tooth	牙齒痛，就愛去分先生看。	牙齒痛，就要去看醫生。
019	舌	初級	四縣	人體	sad  maˇ	舌頭	tongue	毋堵好咬着舌，當（蓋）痛。	我不小心咬到舌頭，很痛。
020	下【下嘴】	初級	四縣	人體	haˊ ngamˊ【haˊzoi  ngamˊ】	下巴	chin	佢牙齒痛到下𪘒(下嘴)打毋開。	他牙齒疼得下巴張不開。
021	圓身	初級	四縣	人體	ienˇsiinˊ【ianˇsiinˊ】	身體	body	圓身分蚊仔叼（咬）着，當（蓋）癢	我身體被蚊子叮到，很癢。
022	皮膚	初級	四縣	人體	piˇ fuˊ	皮膚	skin	老妹皮膚白淨白淨。	妹妹的皮膚白白淨淨。
023	頸根	初級	四縣	人體	giangˋ ginˊ	脖子	neck	頸根圍條圍巾當燒暖。	脖子圍條圍巾很暖和。
024	肩頭	初級	四縣	人體	gienˊ teuˇ【gianˊ teuˇ】	肩膀	shoulder	揹恁重个書包仔，肩頭會痛無？	背這麼重的書包，肩膀會痛嗎？
025	龍骨(背囊骨)	初級	四縣	人體	liungˇ gudˋ(boi nongˇ gudˋ)	脊椎	spine	當（蓋）多老人家龍骨(背囊骨)生骨刺。	很多老人家脊椎長骨刺。
026	背囊	初級	四縣	人體	boi  nongˇ	背部	back	背囊當（蓋）癢，爪毋着。	我背很癢，抓不到。
027	手巴掌	初級	四縣	人體	suˋ baˊ zongˋ	手掌	palm	手巴掌大，做得扡較（過）多東西。	手掌大，可以抓比較多東西。
028	手指	初級	四縣	人體	suˋ ziiˋ	手指	finger	厥手指打球仔著傷吔。	他的手指打球受傷了。
029	腳	初級	四縣	人體	giogˋ	腳	foot, leg	佢騎自行車，腳撞斷忒。	他騎自行車，撞斷腳。
030	腳髀【大羅髀】	初級	四縣	人體	giogˋ biˋ【tai loˇ biˋ】	大腿	thigh	厥倈仔个腳髀（大羅髀）當（蓋）大支。	他兒子的大腿很粗。
031	膝頭	初級	四縣	人體	qidˋ teuˇ	膝蓋	knee	阿姆膝頭痛，行路毋得。	媽媽膝蓋痛，無法走路。
032	腳盤	初級	四縣	人體	giogˋ panˇ	腳面	instep	聽講腳盤大，行路較(過)穩。	聽說腳盤大，走路比較穩。
033	腳目珠【腳目珠仁】	初級	四縣	人體	giogˋ mugˋ zuˊ【giogˋ mugˋ zuˊinˇ】	腳踝	ankle	吾腳目珠(仁)踣着，腫起來。	我腳踝扭傷，腫起來了。
